..*......................|...........*..........*.
...........**............|...........**.........*.
...............*.........|*....................*..
*..*...*........**.......|.*.*...........*........
...........*.........**..*.*....*.....*...........
....................*....|...**...*.....**........
*.......*......*.........*..................*.....
.............*...........|*.................*.*...
.*....*...............*..|.*...........*......*...
............*............|...............*......*.
..*...*...*.....*..*.....|..*.*.....*..*...*..*...
...**.....*..*...........|......*......*..........
...........*...*.........|..*.......***.....*.....
....*..........**........|.*......................
..*.*.**...*........*....|........................
.........................|..............*.........
*.**.......*..**.......*.|.............*......*...
.......*..*..........*...|..*....*....*...........
............*...*.*....*.|...........*.......*..*.
.......*...*....*........|....*.*....*....*.......
...................*.....|*.........*.............
.......*.....*.....***...|.........*.....*.*......
..............*.....*....|..........*........**...
...*..............*......|...........*....**.....*
------*---------*--*-----+-------*-----*--*-------
..........*........*.....|..*..............*....*.
.......*..........*..**..|.............*..........
**.*.....................|........................
.*.......**..............|..........*...........**
.............*......*....|*............*...*......
..*..................*...|......*.*.*......*......
.........*..*............|.....*..................
....*...*...**.*.*.......|........*....*.....*....
..............*..........|.*................*.....
..............*..........|.*........*.............
.*...........*..*........|*..*....................
.....*..*..............*.|...*.........*..*.......
....*...........*..***...|......*..*....*.........
............*............*.*.....*................
.......................*.|.....*.*................
...............*.........|...........*........*...
.........*.........*.....|........................
.........*..*............|................*.......
...*.................*...|......*.................
.........*.......*......*|........................
...................*.*...|.....**...............*.
.................*..*....|...**...........*.......
....*....................|.......*................
.*.......*....*.....**...|.....*..................
.....................*...|......*.................
